smiles,group
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training
