smiles,group,sub_name
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,emerge_0
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,emerge_0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,emerge_0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,emerge_0
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training,emerge_0
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training,emerge_0
C1CCCCC1,training,emerge_0
C1CCCCC1,training,emerge_0
Fc1ccccc1F,training,emerge_0
Fc1ccccc1F,training,emerge_0
Fc1cccc(C(F)(F)F)c1,training,emerge_0
Fc1cccc(C(F)(F)F)c1,training,emerge_0
Fc1cccc(C(F)(F)F)c1,training,emerge_1
Fc1cccc(C(F)(F)F)c1,training,emerge_1
FC(F)(F)C(F)(F)C1CCCCC1,training,emerge_0
FC(F)(F)C(F)(F)C1CCCCC1,training,emerge_0
FC(F)(F)C(F)(F)C1CCCCC1,training,emerge_1
FC(F)(F)C(F)(F)C1CCCCC1,training,emerge_1
FC(F)(F)c1ccccc1,training,emerge_0
FC(F)(F)c1ccccc1,training,emerge_0
FC(F)(F)c1ccccc1,training,emerge_1
FC(F)(F)c1ccccc1,training,emerge_1
CCOC(=O)C(C)C,training,emerge_0
CCOC(=O)C(C)C,training,emerge_0
CCOC(=O)C(C)C,training,emerge_1
CCOC(=O)C(C)C,training,emerge_1
CCOC(=O)C(C)C,training,emerge_2
CCOC(=O)C(C)C,training,emerge_2
CCOC(=O)C(C)C,training,emerge_3
CCOC(=O)C(C)C,training,emerge_3
CC1CCCC1(C)C,valid,emerge_0
CC1CCCC1(C)C,valid,emerge_0
CC(C)C(C)C(C)C,test,emerge_0
CC(C)C(C)C(C)C,test,emerge_0
Cc1ccccc1F,training,emerge_0
Cc1ccccc1F,training,emerge_0
CCCC(C)C(C)C,training,emerge_0
CCCC(C)C(C)C,training,emerge_0
CC(=O)CC(C)C,valid,emerge_0
CC(=O)CC(C)C,valid,emerge_0
Cc1cccc(F)c1,training,emerge_0
Cc1cccc(F)c1,training,emerge_0
Cc1ccc(F)cc1,training,emerge_0
Cc1ccc(F)cc1,training,emerge_0
COC(=O)CC(C)C,training,emerge_0
COC(=O)CC(C)C,training,emerge_0
COC(=O)CC(C)C,training,emerge_1
COC(=O)CC(C)C,training,emerge_1
CCC(C)C(C)CC,training,emerge_0
CCC(C)C(C)CC,training,emerge_0
CCCCCC(C)C,test,emerge_0
CCCCCC(C)C,test,emerge_0
CCCC(C)CCC,training,emerge_0
CCCC(C)CCC,training,emerge_0
CCC(C)(CC)CC,test,emerge_0
CCC(C)(CC)CC,test,emerge_0
CC(=O)OCC(C)C,training,emerge_0
CC(=O)OCC(C)C,training,emerge_0
CC(=O)OCC(C)C,training,emerge_1
CC(=O)OCC(C)C,training,emerge_1
CC(=O)OCC(C)C,training,emerge_2
CC(=O)OCC(C)C,training,emerge_2
CC(=O)OCC(C)C,training,emerge_3
CC(=O)OCC(C)C,training,emerge_3
CCOCCOCC,test,emerge_0
CCOCCOCC,test,emerge_0
CCOCCOCC,test,emerge_1
CCOCCOCC,test,emerge_1
CCOCCOCC,test,emerge_2
CCOCCOCC,test,emerge_2
CCOCCOCC,test,emerge_3
CCOCCOCC,test,emerge_3
CCOCCOCC,test,emerge_4
CCOCCOCC,test,emerge_4
CCOCCOCC,test,emerge_5
CCOCCOCC,test,emerge_5
CCOCCOCC,test,emerge_6
CCOCCOCC,test,emerge_6
CCOCCOCC,test,emerge_7
CCOCCOCC,test,emerge_7
CCOCCOCC,test,emerge_8
CCOCCOCC,test,emerge_8
CCOCCOCC,test,emerge_9
CCOCCOCC,test,emerge_9
CCOCCOCC,test,emerge_10
CCOCCOCC,test,emerge_10
CCOCCOCC,test,emerge_11
CCOCCOCC,test,emerge_11
CCOCCOCC,test,emerge_12
CCOCCOCC,test,emerge_12
CCOCCOCC,test,emerge_13
CCOCCOCC,test,emerge_13
CCOCCOCC,test,emerge_14
CCOCCOCC,test,emerge_14
CCOCCOCC,test,emerge_15
CCOCCOCC,test,emerge_15
CCCC(CC)CC,training,emerge_0
CCCC(CC)CC,training,emerge_0
C1CCCCCC1,training,emerge_0
C1CCCCCC1,training,emerge_0
CCCCC(C)CC,training,emerge_0
CCCCC(C)CC,training,emerge_0
CC1(C)CCCCC1,training,emerge_0
CC1(C)CCCCC1,training,emerge_0
CC(C)OC(=O)C(C)C,training,emerge_0
CC(C)OC(=O)C(C)C,training,emerge_0
CC(C)OC(=O)C(C)C,training,emerge_1
CC(C)OC(=O)C(C)C,training,emerge_1
CC(C)OC(=O)C(C)C,training,emerge_2
CC(C)OC(=O)C(C)C,training,emerge_2
CC(C)OC(=O)C(C)C,training,emerge_3
CC(C)OC(=O)C(C)C,training,emerge_3
CCCC(=O)OCC,valid,emerge_0
CCCC(=O)OCC,valid,emerge_0
CCCC(=O)OCC,valid,emerge_1
CCCC(=O)OCC,valid,emerge_1
CCCC(=O)OCC,valid,emerge_2
CCCC(=O)OCC,valid,emerge_2
CCCC(=O)OCC,valid,emerge_3
CCCC(=O)OCC,valid,emerge_3
C=CCCCCCC,training,emerge_0
C=CCCCCCC,training,emerge_0
CCC1(C)CCCC1,training,emerge_0
CCC1(C)CCCC1,training,emerge_0
CCC1(C)CCCC1,training,emerge_1
CCC1(C)CCCC1,training,emerge_1
CC(C)(C)CC(C)(C)C,training,emerge_0
CC(C)(C)CC(C)(C)C,training,emerge_0
CCCC(C)(C)O,training,emerge_0
CCCC(C)(C)O,training,emerge_0
CCCOC(=O)CC,training,emerge_0
CCCOC(=O)CC,training,emerge_0
CCCOC(=O)CC,training,emerge_1
CCCOC(=O)CC,training,emerge_1
CCCOC(=O)CC,training,emerge_2
CCCOC(=O)CC,training,emerge_2
CCCOC(=O)CC,training,emerge_3
CCCOC(=O)CC,training,emerge_3
CCCCC=C(C)C,training,emerge_0
CCCCC=C(C)C,training,emerge_0
CCCCC=C(C)C,training,emerge_1
CCCCC=C(C)C,training,emerge_1
CCCC(=O)CC,training,emerge_0
CCCC(=O)CC,training,emerge_0
CC(C)CCC(C)(C)C,training,emerge_0
CC(C)CCC(C)(C)C,training,emerge_0
CC(C)C(=O)C(C)C,training,emerge_0
CC(C)C(=O)C(C)C,training,emerge_0
CCCCCCCC,training,emerge_0
CCCCCCCC,training,emerge_0
CC(C)C1CCCC1,training,emerge_0
CC(C)C1CCCC1,training,emerge_0
CC(C)C1CCCC1,training,emerge_1
CC(C)C1CCCC1,training,emerge_1
CCCCOC(C)=O,training,emerge_0
CCCCOC(C)=O,training,emerge_0
CCCCOC(C)=O,training,emerge_1
CCCCOC(C)=O,training,emerge_1
CCCCOC(C)=O,training,emerge_2
CCCCOC(C)=O,training,emerge_2
CCCCOC(C)=O,training,emerge_3
CCCCOC(C)=O,training,emerge_3
CCC1CCCC1C,training,emerge_0
CCC1CCCC1C,training,emerge_0
CCC1CCCC1C,training,emerge_1
CCC1CCCC1C,training,emerge_1
CC1CCCCC1C,valid,emerge_0
CC1CCCCC1C,valid,emerge_0
CC(=O)C=C(C)C,test,emerge_0
CC(=O)C=C(C)C,test,emerge_0
CC(=O)C=C(C)C,test,emerge_1
CC(=O)C=C(C)C,test,emerge_1
CCC(C)(C)CC(C)C,training,emerge_0
CCC(C)(C)CC(C)C,training,emerge_0
CCCC1CCCC1,test,emerge_0
CCCC1CCCC1,test,emerge_0
CCCC1CCCC1,test,emerge_1
CCCC1CCCC1,test,emerge_1
CCCCC(C)=O,training,emerge_0
CCCCC(C)=O,training,emerge_0
CC(C)C(C)C(C)(C)C,training,emerge_0
CC(C)C(C)C(C)(C)C,training,emerge_0
CC1(C)CCOCO1,training,emerge_0
CC1(C)CCOCO1,training,emerge_0
CCCOC(=O)C(C)C,training,emerge_0
CCCOC(=O)C(C)C,training,emerge_0
CCCOC(=O)C(C)C,training,emerge_1
CCCOC(=O)C(C)C,training,emerge_1
CCCOC(=O)C(C)C,training,emerge_2
CCCOC(=O)C(C)C,training,emerge_2
CCCOC(=O)C(C)C,training,emerge_3
CCCOC(=O)C(C)C,training,emerge_3
CC(C)CC(C)O,training,emerge_0
CC(C)CC(C)O,training,emerge_0
CC1CCCC(C)(C)C1,training,emerge_0
CC1CCCC(C)(C)C1,training,emerge_0
CCOC(=O)CC(C)C,training,emerge_0
CCOC(=O)CC(C)C,training,emerge_0
CCOC(=O)CC(C)C,training,emerge_1
CCOC(=O)CC(C)C,training,emerge_1
CCOC(=O)CC(C)C,training,emerge_2
CCOC(=O)CC(C)C,training,emerge_2
CCOC(=O)CC(C)C,training,emerge_3
CCOC(=O)CC(C)C,training,emerge_3
CCc1ccccc1,training,emerge_0
CCc1ccccc1,training,emerge_0
CCc1ccccc1,training,emerge_1
CCc1ccccc1,training,emerge_1
Cc1ccc(C)cc1,training,emerge_0
Cc1ccc(C)cc1,training,emerge_0
Cc1cccc(C)c1,training,emerge_0
Cc1cccc(C)c1,training,emerge_0
CCC(=O)OCC(C)C,training,emerge_0
CCC(=O)OCC(C)C,training,emerge_0
CCC(=O)OCC(C)C,training,emerge_1
CCC(=O)OCC(C)C,training,emerge_1
CCC(=O)OCC(C)C,training,emerge_2
CCC(=O)OCC(C)C,training,emerge_2
CCC(=O)OCC(C)C,training,emerge_3
CCC(=O)OCC(C)C,training,emerge_3
CCC(C)(C)C(C)(C)C,training,emerge_0
CCC(C)(C)C(C)(C)C,training,emerge_0
CCCC(O)CC,test,emerge_0
CCCC(O)CC,test,emerge_0
CC(C)C(C)(C)C(C)C,training,emerge_0
CC(C)C(C)(C)C(C)C,training,emerge_0
CCCCOCCCC,training,emerge_0
CCCCOCCCC,training,emerge_0
CCCCOCCCC,training,emerge_1
CCCCOCCCC,training,emerge_1
CCCCOCCCC,training,emerge_2
CCCCOCCCC,training,emerge_2
CCCCOCCCC,training,emerge_3
CCCCOCCCC,training,emerge_3
CC(C)C(=O)C(C)(C)C,training,emerge_0
CC(C)C(=O)C(C)(C)C,training,emerge_0
Cc1ccccc1C,training,emerge_0
Cc1ccccc1C,training,emerge_0
CCCOC(=O)CCC,valid,emerge_0
CCCOC(=O)CCC,valid,emerge_0
CCCOC(=O)CCC,valid,emerge_1
CCCOC(=O)CCC,valid,emerge_1
CCCOC(=O)CCC,valid,emerge_2
CCCOC(=O)CCC,valid,emerge_2
CCCOC(=O)CCC,valid,emerge_3
CCCOC(=O)CCC,valid,emerge_3
CCC(CC)(CC)CC,training,emerge_0
CCC(CC)(CC)CC,training,emerge_0
C=Cc1ccccc1,valid,emerge_0
C=Cc1ccccc1,valid,emerge_0
CCCCC(C)O,training,emerge_0
CCCCC(C)O,training,emerge_0
C=CCCCCCCC,training,emerge_0
C=CCCCCCCC,training,emerge_0
CCC1CCCC(C)C1,training,emerge_0
CCC1CCCC(C)C1,training,emerge_0
CCC1CCCC(C)C1,training,emerge_1
CCC1CCCC(C)C1,training,emerge_1
C=CC(=O)OCCCC,training,emerge_0
C=CC(=O)OCCCC,training,emerge_0
C=CC(=O)OCCCC,training,emerge_1
C=CC(=O)OCCCC,training,emerge_1
C=CC(=O)OCCCC,training,emerge_2
C=CC(=O)OCCCC,training,emerge_2
C=CC(=O)OCCCC,training,emerge_3
C=CC(=O)OCCCC,training,emerge_3
CCCCCCC=O,training,emerge_0
CCCCCCC=O,training,emerge_0
CCOC(OCC)OCC,training,emerge_0
CCOC(OCC)OCC,training,emerge_0
CCOC(OCC)OCC,training,emerge_1
CCOC(OCC)OCC,training,emerge_1
CCOC(OCC)OCC,training,emerge_2
CCOC(OCC)OCC,training,emerge_2
CCOC(OCC)OCC,training,emerge_3
CCOC(OCC)OCC,training,emerge_3
CCOC(OCC)OCC,training,emerge_4
CCOC(OCC)OCC,training,emerge_4
CCOC(OCC)OCC,training,emerge_5
CCOC(OCC)OCC,training,emerge_5
CCOC(OCC)OCC,training,emerge_6
CCOC(OCC)OCC,training,emerge_6
CCOC(OCC)OCC,training,emerge_7
CCOC(OCC)OCC,training,emerge_7
C1CCCCCCC1,training,emerge_0
C1CCCCCCC1,training,emerge_0
O=C(OC1CCCCC1)C(F)(F)F,valid,emerge_0
O=C(OC1CCCCC1)C(F)(F)F,valid,emerge_0
O=C(OC1CCCCC1)C(F)(F)F,valid,emerge_1
O=C(OC1CCCCC1)C(F)(F)F,valid,emerge_1
O=C(OC1CCCCC1)C(F)(F)F,valid,emerge_2
O=C(OC1CCCCC1)C(F)(F)F,valid,emerge_2
O=C(OC1CCCCC1)C(F)(F)F,valid,emerge_3
O=C(OC1CCCCC1)C(F)(F)F,valid,emerge_3
CC(C)COC(=O)C(C)C,training,emerge_0
CC(C)COC(=O)C(C)C,training,emerge_0
CC(C)COC(=O)C(C)C,training,emerge_1
CC(C)COC(=O)C(C)C,training,emerge_1
CC(C)COC(=O)C(C)C,training,emerge_2
CC(C)COC(=O)C(C)C,training,emerge_2
CC(C)COC(=O)C(C)C,training,emerge_3
CC(C)COC(=O)C(C)C,training,emerge_3
CCCCCCCCC,training,emerge_0
CCCCCCCCC,training,emerge_0
CC(C)c1ccccc1,test,emerge_0
CC(C)c1ccccc1,test,emerge_0
CC(C)c1ccccc1,test,emerge_1
CC(C)c1ccccc1,test,emerge_1
CC(C)C1CCCCC1,test,emerge_0
CC(C)C1CCCCC1,test,emerge_0
CC(C)C1CCCCC1,test,emerge_1
CC(C)C1CCCCC1,test,emerge_1
CC1=CCC2CC1C2(C)C,training,emerge_0
CC1=CCC2CC1C2(C)C,training,emerge_0
COc1ccccc1,test,emerge_0
COc1ccccc1,test,emerge_0
COc1ccccc1,test,emerge_1
COc1ccccc1,test,emerge_1
CCCC(=O)CCC,training,emerge_0
CCCC(=O)CCC,training,emerge_0
O=C1CCCCC1,training,emerge_0
O=C1CCCCC1,training,emerge_0
CCCC1CCCCC1,training,emerge_0
CCCC1CCCCC1,training,emerge_0
CCCC1CCCCC1,training,emerge_1
CCCC1CCCCC1,training,emerge_1
CCCC(C)CO,test,emerge_0
CCCC(C)CO,test,emerge_0
CCCC(=O)OCC(C)C,training,emerge_0
CCCC(=O)OCC(C)C,training,emerge_0
CCCC(=O)OCC(C)C,training,emerge_1
CCCC(=O)OCC(C)C,training,emerge_1
CCCC(=O)OCC(C)C,training,emerge_2
CCCC(=O)OCC(C)C,training,emerge_2
