smiles,group,sub_name
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,-X
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,-X
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,-X
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,-X
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,-X
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,-X
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,-X
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,-X
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,-X
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,-X
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,-X
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,-CF3
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,-CF3
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training,-X
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training,-CF3
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training,-CF3
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training,-CF3
Fc1ccccc1F,training,-X
Fc1ccccc1F,training,-X
Fc1cccc(C(F)(F)F)c1,training,-X
Fc1cccc(C(F)(F)F)c1,training,-CF3
FC(F)(F)C(F)(F)C1CCCCC1,training,-X
FC(F)(F)C(F)(F)C1CCCCC1,training,-X
FC(F)(F)C(F)(F)C1CCCCC1,training,-CF3
FC(F)(F)c1ccccc1,training,-CF3
CCOC(=O)C(C)C,training,-OEt
CCOC(=O)C(C)C,training,=O
Cc1ccccc1F,training,-X
CC(=O)CC(C)C,valid,-C(=O)CH3
Cc1cccc(F)c1,training,-X
Cc1ccc(F)cc1,training,-X
COC(=O)CC(C)C,training,-C(=O)OMe
CC(=O)OCC(C)C,training,-C(=O)CH3
CCOCCOCC,test,-OEt
CCOCCOCC,test,-OEt
CC(C)OC(=O)C(C)C,training,=O
CCCC(=O)OCC,valid,-OEt
CCCC(=O)OCC,valid,=O
CC(C)(C)CC(C)(C)C,training,-tBu
CC(C)(C)CC(C)(C)C,training,-tBu
CCCC(C)(C)O,training,-O
CCCOC(=O)CC,training,=O
CCCC(=O)CC,training,=O
CC(C)CCC(C)(C)C,training,-tBu
CC(C)C(=O)C(C)C,training,=O
CCCCOC(C)=O,training,-C(=O)CH3
CC(=O)C=C(C)C,test,-C(=O)CH3
CCCCC(C)=O,training,-C(=O)CH3
CC(C)C(C)C(C)(C)C,training,-tBu
CCCOC(=O)C(C)C,training,=O
CC(C)CC(C)O,training,-O
CCOC(=O)CC(C)C,training,-OEt
CCOC(=O)CC(C)C,training,=O
CCC(=O)OCC(C)C,training,=O
CCC(C)(C)C(C)(C)C,training,-tBu
CCCC(O)CC,test,-O
CC(C)C(=O)C(C)(C)C,training,-tBu
CC(C)C(=O)C(C)(C)C,training,=O
CCCOC(=O)CCC,valid,=O
CCCCC(C)O,training,-O
C=CC(=O)OCCCC,training,=O
CCCCCCC=O,training,=O
CCOC(OCC)OCC,training,-OEt
CCOC(OCC)OCC,training,-OEt
CCOC(OCC)OCC,training,-OEt
O=C(OC1CCCCC1)C(F)(F)F,valid,-CF3
O=C(OC1CCCCC1)C(F)(F)F,valid,=O
CC(C)COC(=O)C(C)C,training,=O
COc1ccccc1,test,-OMe
CCCC(=O)CCC,training,=O
O=C1CCCCC1,training,=O
CCCC(C)CO,test,-O
CCCC(=O)OCC(C)C,training,=O
CCCOC(=O)CC(C)C,training,=O
CCCCCC(C)=O,valid,-C(=O)CH3
CCOC(=O)CCC(C)C,training,-OEt
CCOC(=O)CCC(C)C,training,=O
COCCOCCOC,test,-OMe
COCCOCCOC,test,-OMe
CC(C)COCCO,training,-O
CCCCCCO,training,-O
CC(C)(C)c1ccccc1,training,-tBu
CCC(=O)OC(=O)CC,training,=O
CCC(=O)OC(=O)CC,training,=O
CC(C)(C)C1CCCCC1,training,-tBu
OC1CCCCC1,training,-O
CC(C)CCOC(=O)C(C)C,training,=O
CC(C)COC(=O)CC(C)C,valid,=O
CC(=O)CC(C)(C)O,valid,-C(=O)CH3
CC(=O)CC(C)(C)O,valid,-O
Cc1ccc(OC(=O)C(F)(F)F)cc1,valid,-CF3
Cc1ccc(OC(=O)C(F)(F)F)cc1,valid,=O
CCCCOCCO,training,-O
CC(=O)OC1CCCCC1,valid,-C(=O)CH3
CCCCCCC(C)=O,training,-C(=O)CH3
O=Cc1ccccc1,training,=O
CCCC(=O)OCCC(C)C,training,=O
CCOC(=O)CC(C)=O,test,-C(=O)CH3
CCOC(=O)CC(C)=O,test,-OEt
CCOC(=O)CC(C)=O,test,=O
CCOCc1ccccc1,training,-OEt
CCC(CO)CC(C)C,training,-O
CCCCCCCO,training,-O
CCCCCC(=O)OCCC,training,=O
Oc1ccccc1,training,-O
CCc1ccccc1OC,training,-OMe
CC12CCC(C1)C(C)(C)C2=O,test,=O
CC(C)CCOC(=O)CC(C)C,training,=O
CC(C)=CCCC(C)O,training,-O
CCCCC(CC)CO,training,-O
CCCCCCCC(C)=O,training,-C(=O)CH3
CCCCCCCC(=O)OC,valid,-C(=O)OMe
CCc1ccc(OC)cc1,valid,-OMe
CCc1cccc(OC)c1,test,-OMe
O=Cc1ccccc1O,training,-O
O=Cc1ccccc1O,training,=O
COC(=O)c1ccccc1,valid,-C(=O)OMe
CC(=O)OCCOC(C)=O,valid,-C(=O)CH3
CC(=O)OCCOC(C)=O,valid,-C(=O)CH3
CCOC(=O)c1ccco1,training,-OEt
CCOC(=O)c1ccco1,training,=O
CC(=O)Oc1ccccc1,training,-C(=O)CH3
CC12CCC(C1)C(C)(C)C2O,training,-O
CC(=O)c1ccccc1,training,-C(=O)CH3
COC(=O)CCC(C)=O,training,-C(=O)OMe
COC(=O)CCC(C)=O,training,-C(=O)CH3
CCOC(=O)C(=O)OCC,training,-OEt
CCOC(=O)C(=O)OCC,training,-OEt
CCOC(=O)C(=O)OCC,training,=O
CCOC(=O)C(=O)OCC,training,=O
CC(C)=CC(=O)C=C(C)C,training,=O
CC1(C)CCC(=O)O1,training,=O
CCOC(=O)CC(=O)OCC,training,-OEt
CCOC(=O)CC(=O)OCC,training,-OEt
CCOC(=O)CC(=O)OCC,training,=O
CCOC(=O)CC(=O)OCC,training,=O
CCCCCCCCO,training,-O
CC1=CC(=O)CC(C)(C)C1,valid,=O
O=CC(=O)c1ccccc1,training,=O
O=CC(=O)c1ccccc1,training,=O
C=Cc1ccc(OC)cc1,training,-OMe
CCOCCOCCO,training,-OEt
CCOCCOCCO,training,-O
COC(=O)C=CC(=O)OC,test,-C(=O)OMe
COC(=O)C=CC(=O)OC,test,-C(=O)OMe
Cc1cccc(O)c1C,training,-O
CCc1ccccc1O,training,-O
CCOC(=O)CCC(C)=O,training,-C(=O)CH3
CCOC(=O)CCC(C)=O,training,-OEt
CCOC(=O)CCC(C)=O,training,=O
CCOC(=O)c1ccccc1,test,-OEt
CCOC(=O)c1ccccc1,test,=O
CC(=O)CCC(=O)OC(C)C,training,-C(=O)CH3
CC(=O)CCC(=O)OC(C)C,training,=O
