SMILES,LowerTempLimit[K],UpperTempLimit[K],TemperatureRange[K],A_antione,B_antione,C_antione,URL,EvaluationTemperature[K],VaporPress[Pa],VP2_LOGPA,smiles,group,group_plot,VP_LOGPA
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,350.32,451.01,100.69,4.20584,1212.323,-34.221,https://webbook.nist.gov/cgi/cbook.cgi?ID=C355680&Units=SI&Mask=4,387,587957.2693,5.769345764,FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,training,Train,5.769345764
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,324.1,451.7,127.6,4.64693,1570.217,14.047,https://webbook.nist.gov/cgi/cbook.cgi?ID=C355420&Units=SI&Mask=4,387,539058.3562,5.731635783,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,valid,Val.,5.731635783
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,253.93,451.11,197.18,4.04938,1108.035,-56.584,https://webbook.nist.gov/cgi/cbook.cgi?ID=C355044&Units=SI&Mask=4,387,496507.2184,5.695925567,FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,training,Train,5.695925567
C1CCCCC1,323,523,200,4.13983,1316.554,-35.581,https://webbook.nist.gov/cgi/cbook.cgi?ID=C110827&Units=SI&Mask=4,387,247420.7358,5.393436094,C1CCCCC1,training,Train,5.393436094
Fc1ccccc1F,304.31,403.4,99.09,4.14521,1310.271,-50.563,https://webbook.nist.gov/cgi/cbook.cgi?ID=C367113&Units=SI&Mask=4,387,178098.0494,5.250659163,Fc1ccccc1F,training,Train,5.250659163
Fc1cccc(C(F)(F)F)c1,313.6,410,96.4,4.13277,1305.633,-57.392,https://webbook.nist.gov/cgi/cbook.cgi?ID=C401809&Units=SI&Mask=4,387,148457.1008,5.171600975,Fc1cccc(C(F)(F)F)c1,training,Train,5.171600975
FC(F)(F)C(F)(F)C1CCCCC1,311.3,410.94,99.64,3.97676,1217.681,-67.482,https://webbook.nist.gov/cgi/cbook.cgi?ID=C335217&Units=SI&Mask=4,387,146476.0319,5.165766566,FC(F)(F)C(F)(F)C1CCCCC1,training,Train,5.165766566
FC(F)(F)c1ccccc1,328,412.32,84.32,4.09418,1305.612,-55.858,https://webbook.nist.gov/cgi/cbook.cgi?ID=C98088&Units=SI&Mask=4,387,141717.7747,5.151424324,FC(F)(F)c1ccccc1,training,Train,5.151424324
CCOC(=O)C(C)C,383.3,553,169.7,4.57,1625.753,-27.105,https://webbook.nist.gov/cgi/cbook.cgi?ID=C97621&Units=SI&Mask=4,387,112902.0686,5.052701899,CCOC(=O)C(C)C,training,Train,5.052701899
CC1CCCC1(C)C,309.36,387.84,78.48,3.9532,1313.371,-54.166,https://webbook.nist.gov/cgi/cbook.cgi?ID=C4259001&Units=SI&Mask=4,387,101666.0279,5.007175856,CC1CCCC1(C)C,valid,Val.,5.007175856
