Feature1,Feature2
ATSc11_3,ATSc17_2
ATSc11_3,ATSm6_2
ATSc11_3,BertzCT
ATSc11_3,EState_VSA6
ATSc11_3,Temperature[K]
ATSc11_3,FPSA3_1
ATSc11_3,Ipc
ATSc11_3,MATSEA1_2
ATSc11_3,MATSP11_6
ATSc11_3,MATSP15_4
ATSc11_3,MATSc25_1
ATSc11_3,MATSm11_1
ATSc11_3,MATSm16_6
ATSc11_3,MoRSEV27_3
ATSc11_3,MoRSEc2_2
ATSc11_3,MoRSEm20_1
ATSc11_3,MoRSEm7_7
ATSc11_3,MoRSEu23_7
ATSc11_3,MoRSEu29_1
ATSc11_3,MoRSEu4_7
ATSc11_3,MoRSEu5_1
ATSc11_3,MolWt
ATSc11_3,PBFscore_1
ATSc11_3,PEOE_VSA5
ATSc11_3,PNSA3_1
ATSc11_3,RDFc14_6
ATSc11_3,RDFc17_4
ATSc11_3,RDFc5_1
ATSc11_3,VSA_EState8
ATSc11_3,WHIM_P3c_2
ATSc11_3,c_3
ATSc11_3,fr_Al_COO
ATSc11_3,fr_bicyclic
ATSc11_3,getawayHATSEn6_2
ATSc11_3,getawayHATSIP2_3
ATSc11_3,getawayHATSIP4_3
ATSc11_3,getawayHATSV8_2
ATSc11_3,getawayHATSc13_3
ATSc11_3,getawayHATSm8_1
ATSc11_3,getawayHTc_1
ATSc11_3,getawayHV1_2
ATSc11_3,getawayHV3_3
ATSc11_3,getawayHV4_2
ATSc11_3,getawayHm7_3
ATSc11_3,getawayREn1_7
ATSc11_3,getawayRmaxP7_2
ATSc11_3,k3_2
ATSc11_3,k_1
ATSc11_3,rho_1
ATSc11_3,rho_2
ATSc17_2,ATSm6_2
ATSc17_2,BertzCT
ATSc17_2,EState_VSA6
ATSc17_2,Temperature[K]
ATSc17_2,FPSA3_1
ATSc17_2,Ipc
ATSc17_2,MATSEA1_2
ATSc17_2,MATSP11_6
ATSc17_2,MATSP15_4
ATSc17_2,MATSc25_1
ATSc17_2,MATSm11_1
ATSc17_2,MATSm16_6
ATSc17_2,MoRSEV27_3
ATSc17_2,MoRSEc2_2
ATSc17_2,MoRSEm20_1
ATSc17_2,MoRSEm7_7
ATSc17_2,MoRSEu23_7
ATSc17_2,MoRSEu29_1
ATSc17_2,MoRSEu4_7
ATSc17_2,MoRSEu5_1
ATSc17_2,MolWt
ATSc17_2,PBFscore_1
ATSc17_2,PEOE_VSA5
ATSc17_2,PNSA3_1
ATSc17_2,RDFc14_6
ATSc17_2,RDFc17_4
ATSc17_2,RDFc5_1
ATSc17_2,VSA_EState8
