Feature1,Feature2,Feature3
ATSc11_3,ATSc17_2,ATSm6_2
ATSc11_3,ATSc17_2,BertzCT
ATSc11_3,ATSc17_2,EState_VSA6
ATSc11_3,ATSc17_2,Temperature[K]
ATSc11_3,ATSc17_2,FPSA3_1
ATSc11_3,ATSc17_2,Ipc
ATSc11_3,ATSc17_2,MATSEA1_2
ATSc11_3,ATSc17_2,MATSP11_6
ATSc11_3,ATSc17_2,MATSP15_4
ATSc11_3,ATSc17_2,MATSc25_1
ATSc11_3,ATSc17_2,MATSm11_1
ATSc11_3,ATSc17_2,MATSm16_6
ATSc11_3,ATSc17_2,MoRSEV27_3
ATSc11_3,ATSc17_2,MoRSEc2_2
ATSc11_3,ATSc17_2,MoRSEm20_1
ATSc11_3,ATSc17_2,MoRSEm7_7
ATSc11_3,ATSc17_2,MoRSEu23_7
ATSc11_3,ATSc17_2,MoRSEu29_1
ATSc11_3,ATSc17_2,MoRSEu4_7
ATSc11_3,ATSc17_2,MoRSEu5_1
ATSc11_3,ATSc17_2,MolWt
ATSc11_3,ATSc17_2,PBFscore_1
ATSc11_3,ATSc17_2,PEOE_VSA5
ATSc11_3,ATSc17_2,PNSA3_1
ATSc11_3,ATSc17_2,RDFc14_6
ATSc11_3,ATSc17_2,RDFc17_4
ATSc11_3,ATSc17_2,RDFc5_1
ATSc11_3,ATSc17_2,VSA_EState8
ATSc11_3,ATSc17_2,WHIM_P3c_2
ATSc11_3,ATSc17_2,c_3
ATSc11_3,ATSc17_2,fr_Al_COO
ATSc11_3,ATSc17_2,fr_bicyclic
ATSc11_3,ATSc17_2,getawayHATSEn6_2
ATSc11_3,ATSc17_2,getawayHATSIP2_3
ATSc11_3,ATSc17_2,getawayHATSIP4_3
ATSc11_3,ATSc17_2,getawayHATSV8_2
ATSc11_3,ATSc17_2,getawayHATSc13_3
ATSc11_3,ATSc17_2,getawayHATSm8_1
ATSc11_3,ATSc17_2,getawayHTc_1
ATSc11_3,ATSc17_2,getawayHV1_2
ATSc11_3,ATSc17_2,getawayHV3_3
ATSc11_3,ATSc17_2,getawayHV4_2
ATSc11_3,ATSc17_2,getawayHm7_3
ATSc11_3,ATSc17_2,getawayREn1_7
ATSc11_3,ATSc17_2,getawayRmaxP7_2
ATSc11_3,ATSc17_2,k3_2
ATSc11_3,ATSc17_2,k_1
ATSc11_3,ATSc17_2,rho_1
ATSc11_3,ATSc17_2,rho_2
ATSc11_3,ATSm6_2,BertzCT
ATSc11_3,ATSm6_2,EState_VSA6
ATSc11_3,ATSm6_2,Temperature[K]
ATSc11_3,ATSm6_2,FPSA3_1
ATSc11_3,ATSm6_2,Ipc
ATSc11_3,ATSm6_2,MATSEA1_2
ATSc11_3,ATSm6_2,MATSP11_6
ATSc11_3,ATSm6_2,MATSP15_4
ATSc11_3,ATSm6_2,MATSc25_1
ATSc11_3,ATSm6_2,MATSm11_1
ATSc11_3,ATSm6_2,MATSm16_6
ATSc11_3,ATSm6_2,MoRSEV27_3
ATSc11_3,ATSm6_2,MoRSEc2_2
ATSc11_3,ATSm6_2,MoRSEm20_1
ATSc11_3,ATSm6_2,MoRSEm7_7
ATSc11_3,ATSm6_2,MoRSEu23_7
ATSc11_3,ATSm6_2,MoRSEu29_1
ATSc11_3,ATSm6_2,MoRSEu4_7
ATSc11_3,ATSm6_2,MoRSEu5_1
ATSc11_3,ATSm6_2,MolWt
ATSc11_3,ATSm6_2,PBFscore_1
ATSc11_3,ATSm6_2,PEOE_VSA5
ATSc11_3,ATSm6_2,PNSA3_1
ATSc11_3,ATSm6_2,RDFc14_6
ATSc11_3,ATSm6_2,RDFc17_4
ATSc11_3,ATSm6_2,RDFc5_1
ATSc11_3,ATSm6_2,VSA_EState8
ATSc11_3,ATSm6_2,WHIM_P3c_2
ATSc11_3,ATSm6_2,c_3
ATSc11_3,ATSm6_2,fr_Al_COO
ATSc11_3,ATSm6_2,fr_bicyclic
ATSc11_3,ATSm6_2,getawayHATSEn6_2
ATSc11_3,ATSm6_2,getawayHATSIP2_3
ATSc11_3,ATSm6_2,getawayHATSIP4_3
ATSc11_3,ATSm6_2,getawayHATSV8_2
ATSc11_3,ATSm6_2,getawayHATSc13_3
ATSc11_3,ATSm6_2,getawayHATSm8_1
ATSc11_3,ATSm6_2,getawayHTc_1
ATSc11_3,ATSm6_2,getawayHV1_2
ATSc11_3,ATSm6_2,getawayHV3_3
ATSc11_3,ATSm6_2,getawayHV4_2
ATSc11_3,ATSm6_2,getawayHm7_3
ATSc11_3,ATSm6_2,getawayREn1_7
ATSc11_3,ATSm6_2,getawayRmaxP7_2
ATSc11_3,ATSm6_2,k3_2
ATSc11_3,ATSm6_2,k_1
ATSc11_3,ATSm6_2,rho_1
ATSc11_3,ATSm6_2,rho_2
ATSc11_3,BertzCT,EState_VSA6
ATSc11_3,BertzCT,Temperature[K]
ATSc11_3,BertzCT,FPSA3_1
ATSc11_3,BertzCT,Ipc
ATSc11_3,BertzCT,MATSEA1_2
ATSc11_3,BertzCT,MATSP11_6
ATSc11_3,BertzCT,MATSP15_4
ATSc11_3,BertzCT,MATSc25_1
ATSc11_3,BertzCT,MATSm11_1
ATSc11_3,BertzCT,MATSm16_6
ATSc11_3,BertzCT,MoRSEV27_3
ATSc11_3,BertzCT,MoRSEc2_2
ATSc11_3,BertzCT,MoRSEm20_1
ATSc11_3,BertzCT,MoRSEm7_7
ATSc11_3,BertzCT,MoRSEu23_7
ATSc11_3,BertzCT,MoRSEu29_1
ATSc11_3,BertzCT,MoRSEu4_7
ATSc11_3,BertzCT,MoRSEu5_1
ATSc11_3,BertzCT,MolWt
ATSc11_3,BertzCT,PBFscore_1
ATSc11_3,BertzCT,PEOE_VSA5
ATSc11_3,BertzCT,PNSA3_1
ATSc11_3,BertzCT,RDFc14_6
ATSc11_3,BertzCT,RDFc17_4
ATSc11_3,BertzCT,RDFc5_1
ATSc11_3,BertzCT,VSA_EState8
ATSc11_3,BertzCT,WHIM_P3c_2
ATSc11_3,BertzCT,c_3
ATSc11_3,BertzCT,fr_Al_COO
ATSc11_3,BertzCT,fr_bicyclic
ATSc11_3,BertzCT,getawayHATSEn6_2
ATSc11_3,BertzCT,getawayHATSIP2_3
ATSc11_3,BertzCT,getawayHATSIP4_3
ATSc11_3,BertzCT,getawayHATSV8_2
ATSc11_3,BertzCT,getawayHATSc13_3
ATSc11_3,BertzCT,getawayHATSm8_1
ATSc11_3,BertzCT,getawayHTc_1
ATSc11_3,BertzCT,getawayHV1_2
ATSc11_3,BertzCT,getawayHV3_3
ATSc11_3,BertzCT,getawayHV4_2
ATSc11_3,BertzCT,getawayHm7_3
ATSc11_3,BertzCT,getawayREn1_7
ATSc11_3,BertzCT,getawayRmaxP7_2
ATSc11_3,BertzCT,k3_2
ATSc11_3,BertzCT,k_1
ATSc11_3,BertzCT,rho_1
ATSc11_3,BertzCT,rho_2
ATSc11_3,EState_VSA6,Temperature[K]
ATSc11_3,EState_VSA6,FPSA3_1
ATSc11_3,EState_VSA6,Ipc
ATSc11_3,EState_VSA6,MATSEA1_2
ATSc11_3,EState_VSA6,MATSP11_6
ATSc11_3,EState_VSA6,MATSP15_4
ATSc11_3,EState_VSA6,MATSc25_1
ATSc11_3,EState_VSA6,MATSm11_1
ATSc11_3,EState_VSA6,MATSm16_6
ATSc11_3,EState_VSA6,MoRSEV27_3
ATSc11_3,EState_VSA6,MoRSEc2_2
ATSc11_3,EState_VSA6,MoRSEm20_1
ATSc11_3,EState_VSA6,MoRSEm7_7
ATSc11_3,EState_VSA6,MoRSEu23_7
ATSc11_3,EState_VSA6,MoRSEu29_1
ATSc11_3,EState_VSA6,MoRSEu4_7
ATSc11_3,EState_VSA6,MoRSEu5_1
ATSc11_3,EState_VSA6,MolWt
ATSc11_3,EState_VSA6,PBFscore_1
ATSc11_3,EState_VSA6,PEOE_VSA5
ATSc11_3,EState_VSA6,PNSA3_1
ATSc11_3,EState_VSA6,RDFc14_6
ATSc11_3,EState_VSA6,RDFc17_4
ATSc11_3,EState_VSA6,RDFc5_1
ATSc11_3,EState_VSA6,VSA_EState8
ATSc11_3,EState_VSA6,WHIM_P3c_2
ATSc11_3,EState_VSA6,c_3
ATSc11_3,EState_VSA6,fr_Al_COO
ATSc11_3,EState_VSA6,fr_bicyclic
ATSc11_3,EState_VSA6,getawayHATSEn6_2
ATSc11_3,EState_VSA6,getawayHATSIP2_3
ATSc11_3,EState_VSA6,getawayHATSIP4_3
ATSc11_3,EState_VSA6,getawayHATSV8_2
ATSc11_3,EState_VSA6,getawayHATSc13_3
ATSc11_3,EState_VSA6,getawayHATSm8_1
ATSc11_3,EState_VSA6,getawayHTc_1
ATSc11_3,EState_VSA6,getawayHV1_2
ATSc11_3,EState_VSA6,getawayHV3_3
ATSc11_3,EState_VSA6,getawayHV4_2
ATSc11_3,EState_VSA6,getawayHm7_3
ATSc11_3,EState_VSA6,getawayREn1_7
ATSc11_3,EState_VSA6,getawayRmaxP7_2
ATSc11_3,EState_VSA6,k3_2
ATSc11_3,EState_VSA6,k_1
ATSc11_3,EState_VSA6,rho_1
ATSc11_3,EState_VSA6,rho_2
ATSc11_3,Temperature[K],FPSA3_1
ATSc11_3,Temperature[K],Ipc
ATSc11_3,Temperature[K],MATSEA1_2
ATSc11_3,Temperature[K],MATSP11_6
ATSc11_3,Temperature[K],MATSP15_4
ATSc11_3,Temperature[K],MATSc25_1
ATSc11_3,Temperature[K],MATSm11_1
ATSc11_3,Temperature[K],MATSm16_6
ATSc11_3,Temperature[K],MoRSEV27_3
ATSc11_3,Temperature[K],MoRSEc2_2
ATSc11_3,Temperature[K],MoRSEm20_1
ATSc11_3,Temperature[K],MoRSEm7_7
ATSc11_3,Temperature[K],MoRSEu23_7
ATSc11_3,Temperature[K],MoRSEu29_1
ATSc11_3,Temperature[K],MoRSEu4_7
ATSc11_3,Temperature[K],MoRSEu5_1
ATSc11_3,Temperature[K],MolWt
ATSc11_3,Temperature[K],PBFscore_1
ATSc11_3,Temperature[K],PEOE_VSA5
ATSc11_3,Temperature[K],PNSA3_1
ATSc11_3,Temperature[K],RDFc14_6
ATSc11_3,Temperature[K],RDFc17_4
ATSc11_3,Temperature[K],RDFc5_1
ATSc11_3,Temperature[K],VSA_EState8
ATSc11_3,Temperature[K],WHIM_P3c_2
ATSc11_3,Temperature[K],c_3
ATSc11_3,Temperature[K],fr_Al_COO
ATSc11_3,Temperature[K],fr_bicyclic
ATSc11_3,Temperature[K],getawayHATSEn6_2
ATSc11_3,Temperature[K],getawayHATSIP2_3
ATSc11_3,Temperature[K],getawayHATSIP4_3
ATSc11_3,Temperature[K],getawayHATSV8_2
ATSc11_3,Temperature[K],getawayHATSc13_3
ATSc11_3,Temperature[K],getawayHATSm8_1
ATSc11_3,Temperature[K],getawayHTc_1
ATSc11_3,Temperature[K],getawayHV1_2
ATSc11_3,Temperature[K],getawayHV3_3
ATSc11_3,Temperature[K],getawayHV4_2
ATSc11_3,Temperature[K],getawayHm7_3
ATSc11_3,Temperature[K],getawayREn1_7
ATSc11_3,Temperature[K],getawayRmaxP7_2
ATSc11_3,Temperature[K],k3_2
ATSc11_3,Temperature[K],k_1
ATSc11_3,Temperature[K],rho_1
ATSc11_3,Temperature[K],rho_2
ATSc11_3,FPSA3_1,Ipc
ATSc11_3,FPSA3_1,MATSEA1_2
ATSc11_3,FPSA3_1,MATSP11_6
ATSc11_3,FPSA3_1,MATSP15_4
ATSc11_3,FPSA3_1,MATSc25_1
ATSc11_3,FPSA3_1,MATSm11_1
ATSc11_3,FPSA3_1,MATSm16_6
ATSc11_3,FPSA3_1,MoRSEV27_3
ATSc11_3,FPSA3_1,MoRSEc2_2
ATSc11_3,FPSA3_1,MoRSEm20_1
ATSc11_3,FPSA3_1,MoRSEm7_7
ATSc11_3,FPSA3_1,MoRSEu23_7
ATSc11_3,FPSA3_1,MoRSEu29_1
ATSc11_3,FPSA3_1,MoRSEu4_7
ATSc11_3,FPSA3_1,MoRSEu5_1
ATSc11_3,FPSA3_1,MolWt
ATSc11_3,FPSA3_1,PBFscore_1
ATSc11_3,FPSA3_1,PEOE_VSA5
ATSc11_3,FPSA3_1,PNSA3_1
ATSc11_3,FPSA3_1,RDFc14_6
ATSc11_3,FPSA3_1,RDFc17_4
ATSc11_3,FPSA3_1,RDFc5_1
ATSc11_3,FPSA3_1,VSA_EState8
ATSc11_3,FPSA3_1,WHIM_P3c_2
ATSc11_3,FPSA3_1,c_3
ATSc11_3,FPSA3_1,fr_Al_COO
ATSc11_3,FPSA3_1,fr_bicyclic
ATSc11_3,FPSA3_1,getawayHATSEn6_2
ATSc11_3,FPSA3_1,getawayHATSIP2_3
ATSc11_3,FPSA3_1,getawayHATSIP4_3
ATSc11_3,FPSA3_1,getawayHATSV8_2
ATSc11_3,FPSA3_1,getawayHATSc13_3
ATSc11_3,FPSA3_1,getawayHATSm8_1
ATSc11_3,FPSA3_1,getawayHTc_1
ATSc11_3,FPSA3_1,getawayHV1_2
ATSc11_3,FPSA3_1,getawayHV3_3
ATSc11_3,FPSA3_1,getawayHV4_2
ATSc11_3,FPSA3_1,getawayHm7_3
ATSc11_3,FPSA3_1,getawayREn1_7
ATSc11_3,FPSA3_1,getawayRmaxP7_2
ATSc11_3,FPSA3_1,k3_2
ATSc11_3,FPSA3_1,k_1
ATSc11_3,FPSA3_1,rho_1
ATSc11_3,FPSA3_1,rho_2
ATSc11_3,Ipc,MATSEA1_2
ATSc11_3,Ipc,MATSP11_6
ATSc11_3,Ipc,MATSP15_4
ATSc11_3,Ipc,MATSc25_1
ATSc11_3,Ipc,MATSm11_1
ATSc11_3,Ipc,MATSm16_6
ATSc11_3,Ipc,MoRSEV27_3
ATSc11_3,Ipc,MoRSEc2_2
ATSc11_3,Ipc,MoRSEm20_1
ATSc11_3,Ipc,MoRSEm7_7
ATSc11_3,Ipc,MoRSEu23_7
ATSc11_3,Ipc,MoRSEu29_1
ATSc11_3,Ipc,MoRSEu4_7
ATSc11_3,Ipc,MoRSEu5_1
ATSc11_3,Ipc,MolWt
ATSc11_3,Ipc,PBFscore_1
ATSc11_3,Ipc,PEOE_VSA5
ATSc11_3,Ipc,PNSA3_1
ATSc11_3,Ipc,RDFc14_6
ATSc11_3,Ipc,RDFc17_4
ATSc11_3,Ipc,RDFc5_1
ATSc11_3,Ipc,VSA_EState8
ATSc11_3,Ipc,WHIM_P3c_2
ATSc11_3,Ipc,c_3
ATSc11_3,Ipc,fr_Al_COO
ATSc11_3,Ipc,fr_bicyclic
ATSc11_3,Ipc,getawayHATSEn6_2
ATSc11_3,Ipc,getawayHATSIP2_3
ATSc11_3,Ipc,getawayHATSIP4_3
ATSc11_3,Ipc,getawayHATSV8_2
ATSc11_3,Ipc,getawayHATSc13_3
ATSc11_3,Ipc,getawayHATSm8_1
ATSc11_3,Ipc,getawayHTc_1
ATSc11_3,Ipc,getawayHV1_2
ATSc11_3,Ipc,getawayHV3_3
ATSc11_3,Ipc,getawayHV4_2
ATSc11_3,Ipc,getawayHm7_3
ATSc11_3,Ipc,getawayREn1_7
ATSc11_3,Ipc,getawayRmaxP7_2
ATSc11_3,Ipc,k3_2
ATSc11_3,Ipc,k_1
ATSc11_3,Ipc,rho_1
ATSc11_3,Ipc,rho_2
ATSc11_3,MATSEA1_2,MATSP11_6
ATSc11_3,MATSEA1_2,MATSP15_4
ATSc11_3,MATSEA1_2,MATSc25_1
ATSc11_3,MATSEA1_2,MATSm11_1
ATSc11_3,MATSEA1_2,MATSm16_6
ATSc11_3,MATSEA1_2,MoRSEV27_3
ATSc11_3,MATSEA1_2,MoRSEc2_2
ATSc11_3,MATSEA1_2,MoRSEm20_1
ATSc11_3,MATSEA1_2,MoRSEm7_7
