Temperature [1/K],Vapor Pressure [Torr],Temperature [K],Temperature [C],MAC,Vapor Pressure [Pa],Outlier,Reference,Paperpile,Link,Data Status,file,Filename,SMILES,smiles
0.00251,0.0008,398.4063745,125,bis,0.106657895,TRUE,Ref. S3,Venier2003-zy,https://articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?bibcode=2003ESASP.524..337V&db_key=AST&page_ind=3&data_type=GIF&type=SCREEN_VIEW&classic=YES,Reported,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.00341,1.00E-07,293.255132,20,bis,1.33E-05,TRUE,Ref. S3,Venier2003-zy,https://articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?bibcode=2003ESASP.524..337V&db_key=AST&page_ind=3&data_type=GIF&type=SCREEN_VIEW&classic=YES,Reported,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.00251,0.0008,398.4063745,,,0.106657895,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002519091,0.000730575,396.9686034,,,0.097401996,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002528182,0.000667175,395.5411722,,,0.088949335,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002537273,0.000609277,394.1239699,,,0.081230206,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002546364,0.000556403,392.7168868,,,0.074180952,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002555455,0.000508118,391.319815,,,0.067743441,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002564545,0.000464023,389.932648,,,0.061864584,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002573636,0.000423754,388.5552808,,,0.056495902,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002582727,0.00038698,387.18761,,,0.051593121,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002591818,0.000353398,385.8295335,,,0.047115808,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002600909,0.000322729,384.4809507,,,0.043027042,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.00261,0.000294723,383.1417625,,,0.039293104,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002619091,0.000269146,381.8118709,,,0.035883202,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002628182,0.000245789,380.4911795,,,0.032769215,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002637273,0.000224459,379.1795932,,,0.029925464,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002646364,0.000204981,377.8770182,,,0.027328496,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002655455,0.000187192,376.5833619,,,0.024956897,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002664545,0.000170947,375.2985329,,,0.022791108,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002673636,0.000156112,374.0224413,,,0.020813268,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002682727,0.000142565,372.7549983,,,0.019007068,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002691818,0.000130193,371.4961162,,,0.017357612,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002700909,0.000118895,370.2457085,,,0.015851298,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.00271,0.000108577,369.00369,,,0.014475703,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
0.002719091,9.92E-05,367.7699766,,,0.013219485,,,,,CC Fit,Nye_MAC_DATA_bis.csv,bis,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1(CCCC1)CC(CCCCCCCC)CCCCCCCCCC
