Temperature [1/K],Vapor Pressure [Torr],Temperature [K],Temperature [C],Vapor Pressure [Pa],Outlier,Reference,Link,Data Status,SMILES,smiles
0.00207,0.009,483.0917874,210.85,1.199901316,FALSE,Ref. S5,https://ntrs.nasa.gov/api/citations/20020024445/downloads/20020024445.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.00218,0.0045,458.7155963,185.85,0.599950658,FALSE,Ref. S5,https://ntrs.nasa.gov/api/citations/20020024445/downloads/20020024445.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.00236,1.40E-05,423.7288136,150,0.001866513,FALSE,Ref. S6,https://cdn.thomasnet.com/ccp/01296243/159893.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.00244,2.48E-05,409.8360656,135.85,0.003306395,FALSE,Ref. S5,https://ntrs.nasa.gov/api/citations/20020024445/downloads/20020024445.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.00251,6.00E-06,398.4063745,125,0.000799934,FALSE,Ref. S4,https://ntrs.nasa.gov/api/citations/20020050211/downloads/20020050211.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.00268,1.20E-07,373.1343284,100,1.60E-05,FALSE,Ref. S6,https://cdn.thomasnet.com/ccp/01296243/159893.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.00287,1.80E-08,348.4320557,75,2.40E-06,FALSE,Ref. S6,https://cdn.thomasnet.com/ccp/01296243/159893.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.00335,3.50E-11,298.5074627,25,4.67E-09,FALSE,Ref. S6,https://cdn.thomasnet.com/ccp/01296243/159893.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.00207,0.015131178,483.0917874,,2.017324526,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.002082929,0.011498088,480.093109,,1.53295238,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.002095859,0.008755153,477.131428,,1.16725771,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.002108788,0.006680011,474.2060641,,0.890594912,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.002121717,0.005106888,471.3163532,,0.680862421,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.002134646,0.003911935,468.4616477,,0.521548479,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
0.002147576,0.003002436,465.6413151,,0.400291872,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1))CC(CCCCCCCC)CCCCCCCCCC
