Temperature [1/K],Vapor Pressure [Torr],Temperature [K],Temperature [C],Vapor Pressure [Pa],Outlier,Reference,Link,Data Status,SMILES,smiles
0.00187,0.00458,534.7593583,260.85,0.610616447,FALSE,Ref. S5,https://ntrs.nasa.gov/api/citations/20020024445/downloads/20020024445.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00201,0.00458,497.5124378,225,0.610616447,FALSE,Ref. S2,https://www.esmats.eu/esmatspapers/pastpapers/pdfs/2001/jansen.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00207,0.000113,483.0917874,210.85,0.015065428,FALSE,Ref. S5,https://ntrs.nasa.gov/api/citations/20020024445/downloads/20020024445.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00218,1.73E-05,458.7155963,185.85,0.002306477,FALSE,Ref. S5,https://ntrs.nasa.gov/api/citations/20020024445/downloads/20020024445.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00223,1.13E-05,448.4304933,175,0.001506543,FALSE,Ref. S2,https://www.esmats.eu/esmatspapers/pastpapers/pdfs/2001/jansen.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00236,9.20E-07,423.7288136,151.47,0.000122657,FALSE,Ref. S1,https://www.spacematdb.com/spacemat/manudatasheets/Nye%20Synthetic%20Oil%202001.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00236,1.73E-05,423.7288136,150,0.002306477,FALSE,Ref. S2,https://www.esmats.eu/esmatspapers/pastpapers/pdfs/2001/jansen.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00251,4.00E-07,398.4063745,125,5.33E-05,FALSE,Ref. S3,https://articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?bibcode=2003ESASP.524..337V&db_key=AST&page_ind=3&data_type=GIF&type=SCREEN_VIEW&classic=YES,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00251,4.00E-07,398.4063745,125,5.33E-05,FALSE,Ref. S4,https://ntrs.nasa.gov/api/citations/20020050211/downloads/20020050211.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00268,5.26E-08,373.1343284,100.27,7.01E-06,FALSE,Ref. S1,https://www.spacematdb.com/spacemat/manudatasheets/Nye%20Synthetic%20Oil%202001.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00319,1.00E-12,313.4796238,40,1.33E-10,FALSE,Ref. S4,https://ntrs.nasa.gov/api/citations/20020050211/downloads/20020050211.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00335,3.00E-11,298.5074627,25,4.00E-09,FALSE,Ref. S1,https://www.spacematdb.com/spacemat/manudatasheets/Nye%20Synthetic%20Oil%202001.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00335,2.33E-12,298.5074627,25,3.11E-10,FALSE,Ref. S2,https://www.esmats.eu/esmatspapers/pastpapers/pdfs/2001/jansen.pdf,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00341,1.00E-12,293.255132,20,1.33E-10,FALSE,Ref. S3,https://articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?bibcode=2003ESASP.524..337V&db_key=AST&page_ind=3&data_type=GIF&type=SCREEN_VIEW&classic=YES,Reported,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.00187,0.007353689,534.7593583,,0.980411289,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.001885556,0.005665077,530.3476724,,0.755281534,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.001901111,0.004367623,526.0081823,,0.582301802,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.001916667,0.003369935,521.7391304,,0.449287762,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.001932222,0.002602158,517.5388154,,0.3469259,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
0.001947778,0.002010852,513.4055904,,0.268091498,,,,Antione Fit,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CC1CC(C(C1)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC
