SubsetIndex,#FeaturesInSubset,R2_Train_Mean,R2_Train_STD,RMSE_Train_Mean,RMSE_Train_STD,MAE_Train_Mean,MAE_Train_STD,MAPE_Train_Mean,MAPE_Train_STD,R2_Test_Mean,R2_Test_STD,RMSE_Test_Mean,RMSE_Test_STD,MAE_Test_Mean,MAE_Test_STD,MAPE_Test_Mean,MAPE_Test_STD,FeaturesSubsetList
1,1,0.06285199,0.016514296,0.987870232,0.025050261,0.75707771,0.018951523,35.43725274,3.147807781,0.02894134,0.024381863,1.004961672,0.046235015,0.767813547,0.024807026,36.0806758,6.064463596,ATSc11_3
2,1,0.264133125,0.0628206,0.875163424,0.051395446,0.665029367,0.037295005,29.74496154,4.454904109,0.002890288,0.063191662,1.018397875,0.06374097,0.766223075,0.050792073,35.73097094,5.879847822,ATSc17_2
3,1,0.238910017,0.011266423,0.890194683,0.01775882,0.708836549,0.011010449,27.87499042,2.611355624,0.071714373,0.088806228,0.982024567,0.066334191,0.770721275,0.023358831,32.83462597,6.521627713,ATSm6_2
4,1,0.529854841,0.004028328,0.699639178,0.011304449,0.558749306,0.007247244,20.50504652,1.571871175,-0.034353127,0.027794979,1.037248221,0.049785642,0.790453269,0.034815735,37.32845464,5.716937423,BertzCT
5,1,0.070159612,0.06082328,0.983375859,0.024795733,0.772335633,0.013319742,34.55097837,1.856722128,-0.018964403,0.021589176,1.028968101,0.025857591,0.792133773,0.018889158,37.27149143,5.232424078,EState_VSA6
6,1,0.237251261,0.012785205,0.891153823,0.017589745,0.663270164,0.014953204,28.74665237,0.822551502,0.225979874,0.0200149,0.89698002,0.032746924,0.667106733,0.019779617,28.76846764,2.481482543,Temperature[K]
7,1,0.333031861,0.048115695,0.83277619,0.023700171,0.62362224,0.016504051,27.31517623,1.585530932,-0.226266832,0.039890135,1.128598359,0.023043765,0.863245132,0.026114996,38.17005831,5.102092705,FPSA3_1
8,1,0.398044415,0.077223671,0.790418745,0.0464225,0.629042558,0.041251331,24.5474118,2.721042071,-0.03087184,0.061149489,1.035330621,0.058798549,0.78199418,0.040790796,37.11514399,6.190414629,Ipc
9,1,-0.000153393,0.000112231,1.020472924,0.017529811,0.786877504,0.014775687,37.09859346,2.631255174,-0.001026177,0.000524825,1.020156686,0.035919425,0.786863552,0.026071606,37.07666497,5.35964494,MATSEA1_2
10,1,0.394691512,0.38227966,0.758206444,0.303834471,0.577084505,0.247478525,25.12760035,11.91300433,-0.064245689,0.019979312,1.051783918,0.035850086,0.81302711,0.029457161,37.01457682,5.337938228,MATSP11_6
