SubsetIndex,#FeaturesInSubset,R2_Train_Mean,R2_Train_STD,RMSE_Train_Mean,RMSE_Train_STD,MAE_Train_Mean,MAE_Train_STD,MAPE_Train_Mean,MAPE_Train_STD,R2_Test_Mean,R2_Test_STD,RMSE_Test_Mean,RMSE_Test_STD,MAE_Test_Mean,MAE_Test_STD,MAPE_Test_Mean,MAPE_Test_STD,FeaturesSubsetList,parameters,Use
6529,3,0.981837466,0.002998047,0.137149197,0.010142591,0.089360173,0.006309665,2.726549493,0.187148603,0.863025577,0.023498882,0.376136106,0.032158409,0.253460057,0.017355231,11.43793589,1.518179746,"Temperature[K],getawayHATSIP2_3,rho_1",pureQuadratic_rationalquadratic,TRUE
6529,3,0.983486905,0.002906674,0.130770476,0.010952015,0.08421585,0.007130994,2.576593891,0.228475982,0.860333176,0.025213974,0.379872419,0.036808301,0.254522431,0.018453595,11.67006191,2.021617982,"Temperature[K],getawayHATSIP2_3,rho_1",linear_rationalquadratic,FALSE
6529,3,0.995804036,0.00227045,0.064517913,0.017524845,0.040728282,0.011606648,1.244252779,0.357448164,0.85926628,0.027641573,0.381094394,0.039883772,0.254079399,0.021024905,11.65173112,1.687435967,"Temperature[K],getawayHATSIP2_3,rho_1",linear_exponential,FALSE
6529,3,0.996708636,0.000550079,0.058398584,0.004674149,0.036462393,0.002830257,1.113367406,0.09075519,0.859007935,0.025913736,0.381662755,0.038016483,0.253153971,0.017558045,11.76625974,1.744626085,"Temperature[K],getawayHATSIP2_3,rho_1",constant_exponential,FALSE
6529,3,0.996630358,0.001756527,0.057777144,0.01647333,0.036162832,0.010939148,1.09444744,0.332315573,0.858520015,0.027253891,0.381905878,0.035593465,0.25507928,0.019748753,11.58469907,1.350429739,"Temperature[K],getawayHATSIP2_3,rho_1",pureQuadratic_exponential,FALSE
6529,3,0.976239187,0.004090301,0.156957005,0.015192589,0.104691715,0.011632344,3.1988237,0.400232123,0.858444437,0.027551478,0.3823271,0.04065521,0.257589091,0.019612624,11.89532975,2.39813107,"Temperature[K],getawayHATSIP2_3,rho_1",pureQuadratic_matern52,FALSE
6529,3,0.997289588,0.001543198,0.05149606,0.016468372,0.031929769,0.010803508,0.975103178,0.335637476,0.857992901,0.027281224,0.382956976,0.040101717,0.254031826,0.018838842,11.78324578,1.774429555,"Temperature[K],getawayHATSIP2_3,rho_1",none_exponential,FALSE
6529,3,0.980220777,0.005507475,0.142609331,0.020386035,0.09403068,0.015276135,2.855855699,0.473503387,0.856530727,0.031262649,0.384565498,0.045470839,0.2571902,0.021399688,11.71329269,2.030357044,"Temperature[K],getawayHATSIP2_3,rho_1",pureQuadratic_matern32,FALSE
6529,3,0.968408654,0.009024182,0.180188112,0.029176738,0.123283579,0.023368781,3.794127679,0.791220561,0.856203999,0.035087501,0.385063125,0.053207216,0.261433559,0.029657584,12.01514193,2.926723392,"Temperature[K],getawayHATSIP2_3,rho_1",pureQuadratic_squaredexponential,FALSE
6529,3,0.976261276,0.005155114,0.156535961,0.015570377,0.105142674,0.011346491,3.220810326,0.330505403,0.855416649,0.033595421,0.385941595,0.049272946,0.256747428,0.023659728,11.84406045,2.24785202,"Temperature[K],getawayHATSIP2_3,rho_1",linear_matern32,FALSE
