SubsetIndex,#FeaturesInSubset,R2_Train_Mean,R2_Train_STD,RMSE_Train_Mean,RMSE_Train_STD,MAE_Train_Mean,MAE_Train_STD,MAPE_Train_Mean,MAPE_Train_STD,R2_Test_Mean,R2_Test_STD,RMSE_Test_Mean,RMSE_Test_STD,MAE_Test_Mean,MAE_Test_STD,MAPE_Test_Mean,MAPE_Test_STD,FeaturesSubsetList,parameters,Use
57030,4,0.999999598,1.53E-07,0.000639142,0.000122299,0.000350196,3.69E-05,0.011904492,0.001915851,0.899773188,0.019230541,0.322173567,0.037474509,0.215879039,0.004300308,10.17812442,2.379778672,"BertzCT,Temperature[K],PNSA3_1,getawayHATSIP2_3",none_exponential,TRUE
57239,4,0.999999589,7.95E-08,0.000652599,7.39E-05,0.000389433,3.02E-05,0.012376105,0.001315812,0.899032406,0.013408036,0.323123312,0.01449461,0.222784163,0.014897436,9.50705939,0.997174014,"BertzCT,Temperature[K],getawayHATSIP2_3,rho_1",pureQuadratic_exponential,TRUE
57235,4,0.999999542,8.42E-08,0.000687918,5.27E-05,0.000393881,3.76E-06,0.012634449,0.000406711,0.894092926,0.010178709,0.331316114,0.01229366,0.223430753,0.009571462,9.357060331,1.221878873,"BertzCT,Temperature[K],getawayHATSIP2_3,getawayREn1_7",pureQuadratic_exponential,TRUE
56384,4,0.999999727,2.92E-08,0.000532792,3.76E-05,0.000315012,1.37E-05,0.010173335,0.000614221,0.89253574,0.005703296,0.334073737,0.010970689,0.237147903,0.006072705,9.143255129,1.042625532,"BertzCT,Temperature[K],FPSA3_1,getawayHATSIP2_3",pureQuadratic_exponential,TRUE
100421,4,0.999997969,1.85E-06,0.001323581,0.0007084,0.000550114,0.000311842,0.018082794,0.01013372,0.889278656,0.027685053,0.33662852,0.028617967,0.223799395,0.016758936,9.179511518,0.225078363,"Temperature[K],getawayHATSIP2_3,getawayHV3_3,rho_1",constant_exponential,TRUE
87555,4,0.999998583,8.02E-07,0.001168728,0.000372738,0.000395586,1.85E-05,0.012840948,0.000566237,0.885140199,0.015772545,0.345503118,0.034414418,0.237718963,0.017145688,10.17920569,1.671567953,"Temperature[K],FPSA3_1,getawayHATSIP2_3,rho_1",linear_exponential,TRUE
98499,4,0.999998649,8.49E-07,0.001127377,0.000418784,0.000376006,1.59E-05,0.012847213,0.000937125,0.883717806,0.03140637,0.345960204,0.052453084,0.217607432,0.020410853,10.53161675,2.330802059,"Temperature[K],PNSA3_1,getawayHATSIP2_3,rho_1",none_exponential,TRUE
98775,4,0.999966563,2.97E-05,0.004954604,0.003788239,0.001924316,0.001349154,0.061226292,0.042072569,0.883708051,0.024325981,0.346318338,0.039129338,0.232523008,0.014501281,10.86780808,2.017191635,"Temperature[K],RDFc14_6,getawayHATSIP2_3,rho_1",none_exponential,TRUE
100448,4,0.999998629,9.28E-07,0.001123359,0.000466817,0.000357708,1.57E-05,0.011899367,0.000257139,0.882804421,0.004044608,0.348994388,0.012598783,0.23623673,0.004636128,9.234750221,2.027504678,"Temperature[K],getawayHATSIP2_3,k_1,rho_1",linear_exponential,TRUE
2380,4,0.999986135,2.35E-05,0.002599778,0.003513586,0.001436184,0.00192253,0.046619115,0.063021278,0.881808596,0.002573566,0.350488707,0.011391473,0.251372576,0.002583015,10.2099158,2.08309126,"ATSc11_3,BertzCT,Temperature[K],getawayHATSIP2_3",constant_exponential,TRUE
5304,4,0.999998664,9.14E-07,0.001106977,0.000467385,0.000377237,9.27E-06,0.012315555,0.000395514,0.880490005,0.02966031,0.350237974,0.044771892,0.233430234,0.018597281,10.33697653,1.914048188,"ATSc11_3,Temperature[K],getawayHATSIP2_3,rho_1",constant_exponential,TRUE
100358,4,0.99998462,2.14E-05,0.003130987,0.002957492,0.00150837,0.00135872,0.050255379,0.043861806,0.880127205,0.036436008,0.351128094,0.060321199,0.229052862,0.027575223,9.726435602,2.367713473,"Temperature[K],getawayHATSIP2_3,getawayHATSIP4_3,rho_1",constant_exponential,TRUE
88458,4,0.99530421,0.001530323,0.069394528,0.012758371,0.043516184,0.009343006,1.314024676,0.31154412,0.87825303,0.026132414,0.354250096,0.040842916,0.24558421,0.020921485,9.805070007,2.435678551,"Temperature[K],Ipc,getawayHATSIP2_3,rho_1",linear_exponential,TRUE
99028,4,0.99654852,0.001408605,0.059063746,0.011415272,0.033559218,0.006613961,1.016129516,0.207275005,0.877724357,0.028531743,0.354469725,0.041774165,0.243090838,0.027570396,10.08330541,2.170890874,"Temperature[K],RDFc17_4,getawayHATSIP2_3,rho_1",pureQuadratic_exponential,TRUE
93659,4,0.990551037,0.002723736,0.098537406,0.016169266,0.06170027,0.0120477,1.946355598,0.379206038,0.877637309,0.020451441,0.355254254,0.019233512,0.238565933,0.014651499,10.96738406,0.598732066,"Temperature[K],MoRSEV27_3,getawayHATSIP2_3,rho_1",pureQuadratic_rationalquadratic,TRUE
56735,4,0.999999731,2.69E-08,0.000528639,3.55E-05,0.000307671,1.85E-05,0.010215548,0.000946213,0.877379606,0.017782693,0.356177193,0.025545758,0.249401741,0.008437706,10.38509548,2.328387051,"BertzCT,Temperature[K],MoRSEc2_2,getawayHATSIP2_3",none_exponential,TRUE
96739,4,0.999620185,0.000368854,0.016553549,0.013613842,0.009770319,0.008357252,0.304170973,0.259247494,0.876900623,0.019517117,0.35651117,0.021775369,0.250601106,0.01356062,9.039511995,0.414975139,"Temperature[K],MoRSEu4_7,getawayHATSIP2_3,rho_1",pureQuadratic_exponential,TRUE
100119,4,0.995686528,0.001244662,0.06660587,0.01099932,0.041849705,0.007744423,1.275690741,0.241127451,0.876008025,0.015732189,0.35839224,0.023723831,0.243733592,0.015377076,10.59615915,0.299749554,"Temperature[K],fr_bicyclic,getawayHATSIP2_3,rho_1",pureQuadratic_exponential,TRUE
100394,4,0.999061223,0.001623754,0.018659382,0.030414431,0.009932226,0.016502806,0.301385151,0.501053985,0.875452233,0.025729418,0.35815648,0.036686046,0.242492621,0.026742166,10.38015192,1.401912673,"Temperature[K],getawayHATSIP2_3,getawayHATSm8_1,rho_1",pureQuadratic_exponential,TRUE
90919,4,0.999649305,0.000604763,0.011636321,0.018180649,0.00568034,0.009152445,0.175731708,0.282834094,0.875251673,0.014609062,0.359369732,0.015537778,0.240627395,0.01208554,10.54071287,0.991837693,"Temperature[K],MATSP15_4,getawayHATSIP2_3,rho_1",constant_exponential,TRUE
100439,4,0.999988413,1.16E-05,0.002958798,0.002160711,0.001626284,0.001164462,0.051931523,0.037050708,0.875221937,0.029999864,0.357752366,0.039847973,0.226783666,0.025284546,10.0967685,1.593942772,"Temperature[K],getawayHATSIP2_3,getawayREn1_7,rho_1",pureQuadratic_exponential,TRUE
94254,4,0.999998702,8.95E-07,0.001089086,0.000468163,0.000352037,7.81E-06,0.011866124,0.000263031,0.874920832,0.019412342,0.359794173,0.030646667,0.243181493,0.004583795,11.21490324,1.563994143,"Temperature[K],MoRSEc2_2,getawayHATSIP2_3,rho_1",none_exponential,TRUE
91660,4,0.993273633,0.003853953,0.080912526,0.027293019,0.050787828,0.018685487,1.576054754,0.609225356,0.874683196,0.021561034,0.359988866,0.034092318,0.249493685,0.021891402,10.51995558,2.150884039,"Temperature[K],MATSc25_1,getawayHATSIP2_3,rho_1",linear_exponential,TRUE
100450,4,0.995968065,0.002619146,0.061822046,0.025319411,0.042175314,0.017911511,1.355291291,0.605644201,0.873249028,0.025140574,0.36210225,0.042139537,0.239637714,0.018582035,11.33345555,1.851913918,"Temperature[K],getawayHATSIP2_3,rho_1,rho_2",constant_exponential,TRUE
100371,4,0.999359354,0.000599707,0.020998673,0.017926757,0.010043861,0.008558953,0.316961459,0.270848976,0.872814117,0.025941569,0.362159296,0.039066275,0.238219997,0.017711502,11.28227329,1.890079092,"Temperature[K],getawayHATSIP2_3,getawayHATSV8_2,rho_1",constant_exponential,TRUE
23728,4,0.999852677,0.000253044,0.007793961,0.011662151,0.003530616,0.005441862,0.109621806,0.169125398,0.872267499,0.023239738,0.363950259,0.042199365,0.226091515,0.020981725,10.40453203,2.640484192,"ATSc17_2,Temperature[K],getawayHATSIP2_3,rho_1",constant_exponential,TRUE
100239,4,0.999998589,9.37E-07,0.001140859,0.000468739,0.000384676,9.27E-06,0.012749351,0.000217551,0.870710463,0.026509593,0.364609266,0.026021375,0.247478579,0.021726009,10.25280974,1.346880894,"Temperature[K],getawayHATSEn6_2,getawayHATSIP2_3,rho_1",linear_exponential,TRUE
100443,4,0.999996758,3.80E-06,0.001595663,0.001085092,0.000712259,0.00053824,0.023036386,0.017244766,0.869383898,0.018038275,0.367831309,0.028152119,0.237645051,0.009348775,10.86075093,1.442198023,"Temperature[K],getawayHATSIP2_3,getawayRmaxP7_2,rho_1",none_exponential,TRUE
92363,4,0.999998705,9.19E-07,0.001081784,0.000486832,0.000351271,1.06E-05,0.012018271,0.000228451,0.869190106,0.030358624,0.366348783,0.034986405,0.254044365,0.026657664,11.15222917,0.87665969,"Temperature[K],MATSm11_1,getawayHATSIP2_3,rho_1",constant_exponential,TRUE
57140,4,0.999999628,7.70E-08,0.000619921,7.02E-05,0.000325776,1.38E-05,0.010550502,0.000767379,0.868764142,0.023915421,0.367624647,0.019324839,0.263894997,0.02024108,10.52720588,0.70355639,"BertzCT,Temperature[K],WHIM_P3c_2,getawayHATSIP2_3",linear_exponential,TRUE
93029,4,0.998928353,0.00115095,0.026616349,0.023962036,0.012729109,0.011753873,0.392823358,0.360420672,0.868687243,0.026036387,0.368201002,0.03996173,0.251864883,0.028406894,10.96583037,2.614123773,"Temperature[K],MATSm16_6,getawayHATSIP2_3,rho_1",none_exponential,TRUE
100383,4,0.99367669,0.001372607,0.080699537,0.007905387,0.050727168,0.004577127,1.532922259,0.121848537,0.868582715,0.026191631,0.368103254,0.037634228,0.252237092,0.020743731,10.32885014,2.030200299,"Temperature[K],getawayHATSIP2_3,getawayHATSc13_3,rho_1",pureQuadratic_exponential,TRUE
100434,4,0.99592368,0.002418947,0.06296691,0.021029639,0.038172983,0.014182944,1.160420807,0.436515307,0.868504889,0.030451262,0.36803408,0.046615455,0.254160826,0.026859399,10.37274717,2.357029412,"Temperature[K],getawayHATSIP2_3,getawayHm7_3,rho_1",pureQuadratic_exponential,TRUE
100428,4,0.999996963,3.64E-06,0.001519459,0.001102364,0.000754524,0.000684299,0.024264582,0.021923778,0.867734567,0.007607349,0.370547318,0.009761323,0.250550473,0.006826565,9.989527559,1.542977688,"Temperature[K],getawayHATSIP2_3,getawayHV4_2,rho_1",pureQuadratic_exponential,TRUE
95839,4,0.999014983,0.001539092,0.023370024,0.027824021,0.014942273,0.018351174,0.473679523,0.586520889,0.867515908,0.038469256,0.368028434,0.056608661,0.248883694,0.030151558,9.413113727,2.194618244,"Temperature[K],MoRSEu23_7,getawayHATSIP2_3,rho_1",pureQuadratic_exponential,TRUE
99983,4,0.994831222,0.001820733,0.072624093,0.012297338,0.046220772,0.008009977,1.429240785,0.253298249,0.867384633,0.029918573,0.369415151,0.043461112,0.243255965,0.024130441,11.45343641,1.784826609,"Temperature[K],fr_Al_COO,getawayHATSIP2_3,rho_1",none_exponential,TRUE
99659,4,0.999998111,1.72E-06,0.001268843,0.000702283,0.000526758,0.000283279,0.018220136,0.00979741,0.865862913,0.02429159,0.371888471,0.028739331,0.241676736,0.015694894,11.05954707,1.283702105,"Temperature[K],WHIM_P3c_2,getawayHATSIP2_3,rho_1",constant_exponential,TRUE
41024,4,0.999998653,9.52E-07,0.001106287,0.000487759,0.000354701,3.43E-05,0.011753198,0.000963948,0.864833187,0.019712909,0.3736566,0.016271241,0.255172211,0.010197752,11.26634709,0.684731161,"ATSm6_2,Temperature[K],getawayHATSIP2_3,rho_1",none_exponential,TRUE
90139,4,0.999998706,8.76E-07,0.001091847,0.000451899,0.000346896,1.56E-05,0.011734418,0.000912231,0.864473257,0.026163311,0.373705271,0.033326171,0.260707325,0.02736765,10.7825548,1.226975948,"Temperature[K],MATSP11_6,getawayHATSIP2_3,rho_1",linear_exponential,TRUE
100404,4,0.999996396,2.95E-06,0.00174201,0.00098657,0.000808805,0.000454065,0.027598397,0.015111585,0.863984805,0.007280589,0.376012885,0.018666564,0.252038425,0.005752998,11.10086128,1.304796822,"Temperature[K],getawayHATSIP2_3,getawayHTc_1,rho_1",none_exponential,TRUE
72419,4,0.998082549,0.001134913,0.043013923,0.015771852,0.026063502,0.009944887,0.802065535,0.303524702,0.86319736,0.024937576,0.375508836,0.027820603,0.256493201,0.016165747,11.37326547,0.894494986,"EState_VSA6,Temperature[K],getawayHATSIP2_3,rho_1",pureQuadratic_exponential,TRUE
97874,4,0.999986318,2.15E-05,0.002802892,0.003010497,0.001382115,0.001712782,0.043892428,0.054355127,0.863041105,0.023026385,0.376391649,0.035001516,0.247348124,0.015666613,12.07395838,2.54268511,"Temperature[K],PBFscore_1,getawayHATSIP2_3,rho_1",constant_exponential,TRUE
56834,4,0.999593944,0.000423531,0.017475909,0.0133217,0.010942198,0.008319216,0.33482062,0.254544018,0.862969265,0.017529905,0.376418468,0.011780499,0.273661346,0.015544977,10.27595133,1.243738956,"BertzCT,Temperature[K],MoRSEu23_7,getawayHATSIP2_3",linear_exponential,TRUE
97523,4,0.999546398,0.000784427,0.012942468,0.020951201,0.006953019,0.01131869,0.213936434,0.348135156,0.862838084,0.039780832,0.373940863,0.042461557,0.252593902,0.025958776,11.06210139,0.795976463,"Temperature[K],MolWt,getawayHATSIP2_3,rho_1",pureQuadratic_exponential,TRUE
57177,4,0.994938511,0.001186461,0.072133513,0.007713317,0.044903585,0.00476383,1.339124383,0.13254407,0.862777697,0.003325461,0.377776208,0.017167188,0.276909857,0.004526734,11.25621635,2.00567837,"BertzCT,Temperature[K],fr_Al_COO,getawayHATSIP2_3",constant_exponential,TRUE
89319,4,0.984360224,0.002114696,0.127395167,0.008103989,0.081847235,0.005103562,2.491355334,0.162723939,0.862059878,0.02427446,0.377343832,0.032019242,0.254056368,0.017785757,11.46002181,1.514098676,"Temperature[K],MATSEA1_2,getawayHATSIP2_3,rho_1",pureQuadratic_rationalquadratic,TRUE
100413,4,0.999997377,2.80E-06,0.001468723,0.000899056,0.000641741,0.000472117,0.022150562,0.016127457,0.861958088,0.028120648,0.377005591,0.036141922,0.247068896,0.018049717,11.28368782,1.920222354,"Temperature[K],getawayHATSIP2_3,getawayHV1_2,rho_1",constant_ardexponential,TRUE
57229,4,0.999889722,0.000125726,0.008657801,0.007735218,0.004568129,0.004103328,0.137631631,0.123315717,0.861557418,0.017911257,0.378341959,0.012523136,0.27515507,0.018394426,10.33549147,1.514984536,"BertzCT,Temperature[K],getawayHATSIP2_3,getawayHATSm8_1",linear_exponential,TRUE
98199,4,0.986193522,0.004809825,0.118655362,0.019307729,0.074043023,0.012446491,2.280214366,0.379095551,0.860918077,0.024801176,0.379212948,0.03757322,0.253091373,0.017553619,11.59961223,2.094153563,"Temperature[K],PEOE_VSA5,getawayHATSIP2_3,rho_1",linear_rationalquadratic,TRUE
57054,4,0.999999728,6.07E-08,0.000530144,6.84E-05,0.000272582,1.49E-05,0.008555965,0.000894923,0.860126878,0.016616209,0.380885262,0.027049702,0.274095366,0.008768037,11.26395373,2.57008171,"BertzCT,Temperature[K],RDFc14_6,getawayHATSIP2_3",none_exponential,TRUE
56979,4,0.999933159,0.000115408,0.005213395,0.008228312,0.002985442,0.004711149,0.092807161,0.146782473,0.859023287,0.012336194,0.382434553,0.01738803,0.28077196,0.0113681,11.70076309,2.636600723,"BertzCT,Temperature[K],PBFscore_1,getawayHATSIP2_3",constant_exponential,TRUE
93655,4,0.99282177,0.001733335,0.086033185,0.00998331,0.055977577,0.007134692,1.755557736,0.202857792,0.858445955,0.025164166,0.38202681,0.026814963,0.270467106,0.019019702,10.69437673,1.148289226,"Temperature[K],MoRSEV27_3,getawayHATSIP2_3,getawayREn1_7",pureQuadratic_exponential,TRUE
95343,4,0.9999868,2.11E-05,0.002703746,0.003063073,0.001429119,0.001833369,0.045552649,0.058021526,0.857097386,0.008112883,0.385471798,0.021298647,0.25449683,0.013786335,11.71298043,1.472749821,"Temperature[K],MoRSEm7_7,getawayHATSIP2_3,rho_1",constant_exponential,TRUE
23805,4,0.999998645,8.50E-07,0.001129899,0.000416893,0.000311577,2.68E-05,0.009536142,0.000848809,0.855734865,0.015580324,0.386429195,0.007830795,0.259667567,0.011501285,10.39404379,0.599484987,"ATSc17_2,Temperature[K],getawayHV3_3,rho_1",constant_exponential,TRUE
56895,4,0.999999762,5.19E-08,0.000496069,5.66E-05,0.000279282,2.61E-05,0.008583258,0.00093925,0.855075893,0.024284227,0.386830101,0.029888387,0.287513358,0.018140773,10.16856984,1.124532382,"BertzCT,Temperature[K],MoRSEu4_7,getawayHATSIP2_3",none_exponential,TRUE
100417,4,0.996934675,0.000819016,0.056089705,0.00662249,0.031016304,0.003932461,0.95132856,0.096938038,0.855044554,0.029470904,0.386039308,0.024346651,0.276549897,0.019016309,10.66026713,0.501014435,"Temperature[K],getawayHATSIP2_3,getawayHV3_3,getawayREn1_7",pureQuadratic_rationalquadratic,TRUE
