SubsetIndex,#FeaturesInSubset,R2_Train,RMSE_Train,MAE_Train,MAPE_Train,R2_Val,RMSE_Val,MAE_Val,MAPE_val,FeaturesSubsetList,parameters
87555,4,0.999999561,0.000757085,0.000418274,0.01393073,0.940371762,0.311649983,0.230658017,7.40906773,"Temperature[K],FPSA3_1,getawayHATSIP2_3,rho_1",linear_exponential
95839,4,0.999999386,0.000894799,0.000555812,0.017360048,0.929834922,0.338066101,0.236382667,8.593850488,"Temperature[K],MoRSEu23_7,getawayHATSIP2_3,rho_1",pureQuadratic_exponential
100450,4,0.997620266,0.055710725,0.038055021,1.263478857,0.925492181,0.34837104,0.239140647,8.473535527,"Temperature[K],getawayHATSIP2_3,rho_1,rho_2",constant_exponential
100413,4,0.999999633,0.000691977,0.000395259,0.014036943,0.920691736,0.359418429,0.246603768,8.255753531,"Temperature[K],getawayHATSIP2_3,getawayHV1_2,rho_1",constant_ardexponential
100428,4,0.999999698,0.000627253,0.000391414,0.012840669,0.91926781,0.362630632,0.24927898,9.881249203,"Temperature[K],getawayHATSIP2_3,getawayHV4_2,rho_1",pureQuadratic_exponential
95566,4,0.99731953,0.059126216,0.036514814,1.160192664,0.919127884,0.362944755,0.245697959,8.810126291,"Temperature[K],MoRSEu23_7,MolWt,rho_1",pureQuadratic_exponential
100394,4,0.999348041,0.029159818,0.016121552,0.487240899,0.917506215,0.366565624,0.254941062,8.711337107,"Temperature[K],getawayHATSIP2_3,getawayHATSm8_1,rho_1",pureQuadratic_exponential
100446,4,0.99999958,0.000739833,0.00040011,0.013597293,0.916500264,0.368793852,0.264275766,8.53791212,"Temperature[K],getawayHATSIP2_3,k3_2,rho_1",pureQuadratic_exponential
100358,4,0.999999565,0.000753115,0.000385192,0.013638962,0.915892192,0.370134254,0.234869958,7.192655776,"Temperature[K],getawayHATSIP2_3,getawayHATSIP4_3,rho_1",constant_exponential
100239,4,0.99999962,0.000703534,0.00039255,0.013429361,0.915438908,0.371130299,0.257566765,8.455726988,"Temperature[K],getawayHATSEn6_2,getawayHATSIP2_3,rho_1",linear_exponential
95070,4,0.999999484,0.000820069,0.000436415,0.013217223,0.913390691,0.375598119,0.233246719,9.372400875,"Temperature[K],MoRSEm7_7,MolWt,rho_1",pureQuadratic_exponential
100443,4,0.999999527,0.000785779,0.000444644,0.014572069,0.913276155,0.375846389,0.252978862,7.793215403,"Temperature[K],getawayHATSIP2_3,getawayRmaxP7_2,rho_1",none_exponential
92363,4,0.999999701,0.000624806,0.000385799,0.013608872,0.912578021,0.377356154,0.263160527,8.94855004,"Temperature[K],MATSm11_1,getawayHATSIP2_3,rho_1",constant_exponential
100371,4,0.999999029,0.001125174,0.000496166,0.016059877,0.912033598,0.37852933,0.249292459,7.875132096,"Temperature[K],getawayHATSIP2_3,getawayHATSV8_2,rho_1",constant_exponential
41024,4,0.999999694,0.000631243,0.000361745,0.012016068,0.911891047,0.378835913,0.257527807,9.556113718,"ATSm6_2,Temperature[K],getawayHATSIP2_3,rho_1",none_exponential
93029,4,0.999995832,0.002331621,0.001029608,0.031878739,0.91118504,0.380350667,0.2565792,8.865341045,"Temperature[K],MATSm16_6,getawayHATSIP2_3,rho_1",none_exponential
100383,4,0.992115285,0.101406927,0.065467063,2.023106652,0.911016522,0.380711337,0.248177645,9.577770365,"Temperature[K],getawayHATSIP2_3,getawayHATSc13_3,rho_1",pureQuadratic_exponential
99983,4,0.998359475,0.04625579,0.028612941,0.891373177,0.910907924,0.380943582,0.242468228,8.002838449,"Temperature[K],fr_Al_COO,getawayHATSIP2_3,rho_1",none_exponential
100404,4,0.999999634,0.000690942,0.000369576,0.012918044,0.910779027,0.381219054,0.272687749,9.069384517,"Temperature[K],getawayHATSIP2_3,getawayHTc_1,rho_1",none_exponential
100119,4,0.995344216,0.07792396,0.049382914,1.531237545,0.910047092,0.382779548,0.254028176,9.934587554,"Temperature[K],fr_bicyclic,getawayHATSIP2_3,rho_1",pureQuadratic_exponential
97874,4,0.999999481,0.000822758,0.000473877,0.015601624,0.909637148,0.38365078,0.256406418,8.009314063,"Temperature[K],PBFscore_1,getawayHATSIP2_3,rho_1",constant_exponential
100439,4,0.999999577,0.000743004,0.000445268,0.014736874,0.908894696,0.385223659,0.249834531,7.716077579,"Temperature[K],getawayHATSIP2_3,getawayREn1_7,rho_1",pureQuadratic_exponential
96739,4,0.999017956,0.035788219,0.021975008,0.700253241,0.908849523,0.38531915,0.246369033,8.523147106,"Temperature[K],MoRSEu4_7,getawayHATSIP2_3,rho_1",pureQuadratic_exponential
5304,4,0.999999669,0.000657113,0.000425631,0.01431785,0.907537097,0.388083235,0.246409116,8.514682984,"ATSc11_3,Temperature[K],getawayHATSIP2_3,rho_1",constant_exponential
93659,4,0.992058926,0.101768702,0.064680655,2.236056264,0.907410398,0.388349034,0.249137247,8.769270694,"Temperature[K],MoRSEV27_3,getawayHATSIP2_3,rho_1",pureQuadratic_rationalquadratic
97523,4,0.99861802,0.042454667,0.024785913,0.797307141,0.90669032,0.389856222,0.249197644,8.229541877,"Temperature[K],MolWt,getawayHATSIP2_3,rho_1",pureQuadratic_exponential
72419,4,0.997006289,0.062485546,0.038753713,1.252309258,0.906574127,0.390098879,0.267645746,10.33472172,"EState_VSA6,Temperature[K],getawayHATSIP2_3,rho_1",pureQuadratic_exponential
56384,4,0.999999681,0.000644715,0.000385982,0.012786945,0.906243807,0.390787895,0.244029083,7.642528229,"BertzCT,Temperature[K],FPSA3_1,getawayHATSIP2_3",pureQuadratic_exponential
98499,4,0.999999645,0.000680196,0.000421189,0.01439187,0.905842085,0.391624215,0.241217956,8.386576208,"Temperature[K],PNSA3_1,getawayHATSIP2_3,rho_1",none_exponential
99469,4,0.999999096,0.00108555,0.00045527,0.014543006,0.904867048,0.393646692,0.249419299,8.405793824,"Temperature[K],VSA_EState8,getawayHATSIP2_3,rho_1",linear_exponential
89319,4,0.972641888,0.188893791,0.130184396,4.09713763,0.904681654,0.394030073,0.250619495,8.279100564,"Temperature[K],MATSEA1_2,getawayHATSIP2_3,rho_1",pureQuadratic_rationalquadratic
5031,4,0.999999714,0.000610544,0.00035435,0.011038277,0.903906978,0.395628023,0.250151003,9.708501061,"ATSc11_3,Temperature[K],MolWt,rho_1",constant_exponential
95567,4,0.936829261,0.287033506,0.20970771,6.51830812,0.9032844,0.396907573,0.285929159,10.85435803,"Temperature[K],MoRSEu23_7,MolWt,rho_2",linear_matern32
87282,4,0.999999595,0.000727133,0.000367423,0.011890876,0.90090418,0.401761936,0.251481023,10.42329006,"Temperature[K],FPSA3_1,MolWt,rho_1",constant_exponential
