step,temp,press,density,pxx,pyy,pzz,pxy,pxz,pyz,pe,ke,etotal,evdwl,ecoul,epair,ebond,eangle,edihed,eimp,emol,etail,enthalpy,vol
0,234.00000000000002842,1239.7323569599952862,0.31135105561015047337,1222.6645220386976689,1329.9801444782010549,1166.5524043630873621,66.091999662550520611,-26.936732729252870655,76.466683491159599839,-1540.8007395680588161,3484.7577202932002365,1943.9569807251414204,-969.40044994987158589,-968.7567202967668436,-1938.1571702466385432,27.069856597917421936,211.27584159154866938,157.97024374887897125,1.0404887402346085779,397.3564306785797271,-29.050196984202774075,4484.0928256711586073,140492.49242774624145
1000,959.6990240834505812,1942.6135770268492706,0.31135105561015047337,1426.5162751594250494,1885.176898607953035,2516.1475573131706369,142.68862017179566237,308.25595840408993809,770.41471352723954169,7442.8812026572486502,14291.959757831855313,21734.840960489105782,-458.70442795261169522,-1375.523827750367218,-1834.2282557029789132,3080.7185097020073954,4420.1837826634036901,1687.3299203173658043,88.877245677450787298,9277.1094583602280181,-29.050196984202774075,25715.137475444011216,140492.49242774624145
2000,974.02194505640954958,669.71249477720664345,0.31135105561015047337,116.85132620176840135,1468.3349109380740174,423.95124719178045325,450.76927501224349726,-76.905164428053865322,-892.4258952726137295,8729.0732588938608387,14505.258516112487996,23234.331775006350654,-389.21661287782660565,-1990.7265993098194485,-2379.9432121876461679,3629.5956108338664308,5483.6872300139621075,1866.771425950181083,128.96220428349647591,11109.016471081506097,-29.050196984202774075,24606.531753688279423,140492.49242774624145
3000,988.28242570695351787,165.51557654263942254,0.31135105561015041786,177.64410556964080001,404.57120758075234335,-85.668583522473099379,-280.11465020522695113,-600.48818456734034044,59.737712991664608353,10031.262251503150765,14717.627405181183349,24748.889656684332294,-441.552845201237119,-1844.2890917582149086,-2285.8419369594516866,4079.1262802474493583,6107.8203060884852675,1986.1137184255192096,144.04388370114801887,12317.104188462601087,-29.050196984202774075,25088.020959108209354,140492.49242774624145
4000,1007.5596225863552036,1311.2800833096812312,0.31135105561015041786,885.36272626622303505,2464.8091951409296598,583.66832852189145342,721.46792638892009109,-946.66929775485880327,-165.93885048701437768,10651.717146627834154,15004.705869502153291,25656.423016129985626,-455.55496149438494058,-1979.2728361910862986,-2434.8277976854710687,4499.7845455528258753,6464.7928030101775221,1977.5146728789854933,144.45292287131610465,13086.544944313305677,-29.050196984202774075,28343.155780406945269,140492.49242774624145
5000,993.65270602214081919,501.11033325022782492,0.31135105561015041786,165.10936766782731411,309.20992128647748132,1029.0117107963803846,228.19814824464165781,415.34720563547261918,-529.8259370133067705,10811.338858293214798,14797.602301713181078,25608.941160006397695,-497.14771648744692811,-1864.5534919748452012,-2361.7012084622920156,4625.8884494451349383,6418.4772004407986969,1982.6774053241917954,145.99701154538303172,13173.040066755507723,-29.050196984202774075,26635.685612238859903,140492.49242774624145
6000,999.09250675179373502,109.04145960043865671,0.31135105561015047337,-236.5777997172435505,423.15134440372747804,140.55083411483201417,-269.87975842488759781,136.3254724828775295,-64.127069232483350447,10620.927009014403666,14878.612505087176032,25499.539514101579698,-522.40070464434586484,-1976.6735382697877412,-2499.0742429141337198,4643.8257987685019543,6404.5047750021312822,1944.3773943820938257,127.29328377581151699,13120.001251928539205,-29.050196984202774075,25722.958801790016878,140492.49242774624145
7000,1011.0960037638028552,1023.7381219850487923,0.31135105561015041786,772.50377745109130956,1382.5188164996443447,916.19177200440879005,1079.7231092441502369,374.03724918224617113,265.59367542657133754,10944.244666396061803,15057.370107151769844,26001.614773547829827,-444.98252107131565936,-1943.8590952960139475,-2388.8416163673291521,4864.5215953855586122,6424.6017124658555986,1900.8345037367905661,143.12847117518569462,13333.086282763390045,-29.050196984202774075,28099.191629465814913,140492.49242774624145
8000,985.33345708201318303,420.86504459139439405,0.31135105561015041786,434.00608697331330177,642.74819832028492783,185.84084848058674311,-324.51733261711962086,195.30808951634679715,551.35165124998604824,11308.386436744176535,14673.710989870656704,25982.097426614833239,-499.55590815127197857,-1943.7426743719272508,-2443.298582523199002,4781.3289454245623347,6733.3043315316153894,2079.902076681357812,157.1496656298386938,13751.685019267373718,-29.050196984202774075,26844.424185813797521,140492.49242774624145
9000,992.19855496739887712,313.7062374150232813,0.31135105561015041786,338.47012520664657131,99.318421401952576844,503.33016563647339581,32.462411341330046355,-137.96386799115879285,289.64779802736427428,10954.243127590832955,14775.946899514530742,25730.190027105363697,-472.05978605682378202,-2026.4856389352062251,-2498.5454249920294387,4795.1968625972185691,6527.264560207584509,1989.3445192137514823,140.98261056430914095,13452.788552582864213,-29.050196984202774075,26372.954938392387703,140492.49242774624145
